Country Name,Country Code,region,"2020 [YR2020] - GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]","2020 [YR2020] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","2020 [YR2020] - Physicians (per 1,000 people) [SH.MED.PHYS.ZS]","2020 [YR2020] - Population, total [SP.POP.TOTL]","2020 [YR2020] - Population ages 65 and above, total [SP.POP.65UP.TO]",2020 [YR2020] - Population density (people per sq. km of land area) [EN.POP.DNST],2020 [YR2020] - Proportion of people living below 50 percent of median income (%) [SI.DST.50MD],2020 [YR2020] - Rural population (% of total population) [SP.RUR.TOTL.ZS],2020 [YR2020] - Urban population (% of total population) [SP.URB.TOTL.IN.ZS],2020 [YR2020] - Prevalence of current tobacco use (% of adults) [SH.PRV.SMOK],"2020 [YR2020] - Prevalence of current tobacco use, females (% of female adults) [SH.PRV.SMOK.FE]","2020 [YR2020] - Prevalence of current tobacco use, males (% of male adults) [SH.PRV.SMOK.MA]","2020 [YR2020] - Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","2020 [YR2020] - Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative) [SE.SEC.CUAT.UP.ZS]",2020 [YR2020] - Domestic general government health expenditure (% of GDP) [SH.XPD.GHED.GD.ZS],"2020 [YR2020] - Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]"
Afghanistan,AFG,South Asia,2078.595086,62.575,0.2538,38972230,941940,59.75228064,..,73.974,26.026,23.3,7.2,39.4,..,..,1.18621242,11.71
Albania,ALB,Europe & Central Asia,14064.03861,76.989,1.8754,2837849,449008,103.5711314,9.6,37.888,62.112,22.4,6,38.8,3.342299938,..,2.93465567,..
Algeria,DZA,Middle East & North Africa,11452.22662,74.453,..,43451666,2614691,18.24365706,..,26.267,73.733,21,0.7,41.3,7.042397499,..,3.95616674,..
American Samoa,ASM,East Asia & Pacific,..,..,..,46189,2981,230.945,..,12.847,87.153,..,..,..,..,..,..,..
Andorra,AND,Europe & Central Asia,..,..,..,77700,11030,165.3191489,..,12.084,87.916,31.8,28.3,35.3,2.856162786,..,6.62333536,..
Angola,AGO,Sub-Saharan Africa,6367.437317,62.261,..,33428486,865789,26.81357664,..,33.175,66.825,..,..,..,2.744996548,..,1.22474134,..
Antigua and Barbuda,ATG,Latin America & Caribbean,19839.92559,78.841,..,92664,9085,210.6,..,75.567,24.433,..,..,..,..,..,3.38136292,..
Argentina,ARG,Latin America & Caribbean,20787.85787,75.892,4.0596,45376763,5321539,16.58089261,21.2,7.889,92.111,24.5,19.6,29.4,5.279640198,..,6.6165266,11.46
Armenia,ARM,Europe & Central Asia,14105.91125,72.173,..,2805608,348117,98.54611872,4.6,36.687,63.313,25.5,1.5,49.4,2.705559969,89.88085938,2.35682821,12.18
Aruba,ABW,Latin America & Caribbean,35012.39147,75.723,..,106585,15921,592.1388889,..,56.303,43.697,..,..,..,..,..,..,..
Australia,AUS,East Asia & Pacific,53066.49099,83.2,4.1292,25655289,4164775,3.335312311,..,13.759,86.241,13.6,11.5,15.6,5.608449936,80.05303192,7.99613142,6.46
Austria,AUT,Europe & Central Asia,57258.69023,81.19268293,5.2933,8916864,1707529,108.0570044,11,41.252,58.748,26.4,25,27.7,5.569009781,..,8.763134,5.2
Azerbaijan,AZE,Europe & Central Asia,14495.65697,66.868,..,10093121,653178,122.1247368,..,43.603,56.397,24,0.1,47.9,4.332049847,..,1.58928382,7.24
"Bahamas, The",BHS,Latin America & Caribbean,27224.47086,72.677,..,406471,33651,40.60649351,..,16.755,83.245,10.6,2.4,18.8,2.866807222,..,4.59830189,..
Bahrain,BHR,Middle East & North Africa,50682.75956,79.174,..,1477469,47236,1882.126115,..,10.494,89.506,14.9,4.5,25.3,2.552374601,68.73667908,2.96118394,..
Bangladesh,BGD,South Asia,5904.567375,71.968,0.6672,167420951,9430760,1286.171553,..,61.823,38.177,34.7,17.1,52.2,1.765280604,..,0.47426897,..
Barbados,BRB,Latin America & Caribbean,14579.09038,77.393,..,280693,42543,652.7744186,..,68.809,31.191,8.5,1.9,15,4.202179909,..,3.74926305,..
Belarus,BLR,Europe & Central Asia,20317.23192,72.45721951,..,9379952,1552638,46.21121293,3.9,20.517,79.483,30.5,13.5,47.4,4.862639904,..,4.54088545,4.05
